UE,RSRP,RSRQ,SINR,Cluster,Time
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:26.783471
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:26.784014
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:27.283897
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:27.284281
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:27.784307
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:27.784536
ue1,-11.0,24.0,0.0,1,2025-07-20 03:23:28.284721
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:28.284842
ue1,-11.0,24.0,0.0,1,2025-07-20 03:23:28.785190
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:28.785251
ue1,-11.0,24.0,0.0,1,2025-07-20 03:23:29.285797
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:29.285921
ue1,-11.0,24.0,0.0,1,2025-07-20 03:23:29.786433
ue0,-11.0,27.0,1.0,0,2025-07-20 03:23:29.786502
ue0,-11.0,27.0,1.0,0,2025-07-20 03:23:30.286905
ue1,-11.0,24.0,0.0,1,2025-07-20 03:23:30.286963
ue1,-11.0,24.0,0.0,1,2025-07-20 03:23:30.787358
ue0,-11.0,27.0,1.0,0,2025-07-20 03:23:30.787418
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:31.287807
ue1,-11.0,24.0,0.0,1,2025-07-20 03:23:31.287866
ue1,-11.0,24.0,0.0,1,2025-07-20 03:23:31.810105
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:31.810168
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:32.310566
ue1,-11.0,24.0,0.0,1,2025-07-20 03:23:32.310622
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:32.810983
ue1,-11.0,22.0,0.0,1,2025-07-20 03:23:32.811049
ue1,-11.0,22.0,0.0,1,2025-07-20 03:23:33.311457
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:33.311521
ue1,-11.0,22.0,0.0,1,2025-07-20 03:23:33.811874
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:33.811941
ue1,-11.0,22.0,0.0,1,2025-07-20 03:23:34.312320
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:34.312376
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:34.812817
ue1,-11.0,24.0,0.0,1,2025-07-20 03:23:34.812877
ue1,-11.0,24.0,0.0,1,2025-07-20 03:23:35.313265
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:35.313328
ue1,-11.0,24.0,0.0,1,2025-07-20 03:23:35.813737
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:35.813793
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:36.314183
ue1,-11.0,24.0,0.0,1,2025-07-20 03:23:36.314238
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:36.814608
ue1,-11.0,24.0,0.0,1,2025-07-20 03:23:36.814677
ue0,-11.0,27.0,1.0,0,2025-07-20 03:23:37.315149
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:37.315286
ue0,-11.0,27.0,1.0,0,2025-07-20 03:23:37.815507
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:37.815614
ue0,-11.0,27.0,1.0,0,2025-07-20 03:23:38.315939
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:38.315997
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:38.816405
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:38.816462
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:39.316864
ue1,-11.0,22.0,0.0,1,2025-07-20 03:23:39.316923
ue1,-11.0,22.0,0.0,1,2025-07-20 03:23:39.817365
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:39.817429
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:40.317827
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:40.317885
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:40.818305
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:40.818366
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:41.318814
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:41.318874
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:41.819260
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:41.819317
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:42.319729
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:42.319787
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:42.820219
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:42.820300
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:43.320674
ue1,-11.0,22.0,0.0,1,2025-07-20 03:23:43.320731
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:43.821112
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:43.821169
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:44.321597
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:44.321655
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:44.822385
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:44.822536
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:45.322779
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:45.322889
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:45.823168
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:45.823228
ue0,-11.0,24.0,1.0,0,2025-07-20 03:23:46.323623
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:46.323680
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:46.824070
ue0,-11.0,24.0,1.0,0,2025-07-20 03:23:46.824152
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:47.324619
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:47.324684
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:47.825049
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:47.825106
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:48.325488
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:48.325544
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:48.825988
ue1,-12.0,23.0,0.0,2,2025-07-20 03:23:48.826047
ue1,-12.0,24.0,0.0,2,2025-07-20 03:23:49.326448
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:49.326506
ue1,-12.0,24.0,0.0,2,2025-07-20 03:23:49.826863
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:49.826933
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:50.327374
ue1,-11.0,24.0,0.0,1,2025-07-20 03:23:50.327466
ue1,-11.0,25.0,0.0,1,2025-07-20 03:23:50.827948
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:50.828056
ue1,-11.0,25.0,0.0,1,2025-07-20 03:23:51.328448
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:51.328508
ue1,-11.0,25.0,0.0,1,2025-07-20 03:23:51.829368
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:51.830976
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:52.329758
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:52.331307
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:52.830225
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:52.831667
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:53.331125
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:53.332008
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:53.837961
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:53.843327
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:54.497401
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:54.514097
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:55.035157
ue1,-12.0,23.0,0.0,2,2025-07-20 03:23:55.070391
ue1,-12.0,23.0,0.0,2,2025-07-20 03:23:55.599118
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:55.602968
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:56.127758
ue1,-12.0,23.0,0.0,2,2025-07-20 03:23:56.133026
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:56.643516
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:56.667553
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:57.182477
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:57.188503
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:57.682963
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:57.688785
ue0,-11.0,26.0,1.0,0,2025-07-20 03:23:58.203797
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:58.215143
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:58.704239
ue1,-11.0,23.0,0.0,1,2025-07-20 03:23:58.715581
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:59.216524
ue1,-12.0,23.0,0.0,2,2025-07-20 03:23:59.220305
ue0,-11.0,25.0,1.0,0,2025-07-20 03:23:59.716919
ue1,-12.0,23.0,0.0,2,2025-07-20 03:23:59.720567
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:00.227602
ue1,-12.0,23.0,0.0,2,2025-07-20 03:24:00.232642
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:00.733183
ue1,-12.0,23.0,0.0,2,2025-07-20 03:24:00.733242
ue1,-11.0,25.0,0.0,1,2025-07-20 03:24:01.254125
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:01.254194
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:01.754617
ue1,-12.0,23.0,0.0,2,2025-07-20 03:24:01.754675
ue1,-12.0,23.0,0.0,2,2025-07-20 03:24:02.280928
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:02.286415
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:02.792701
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:02.792768
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:03.320307
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:03.320370
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:03.821058
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:03.821117
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:04.331793
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:04.331863
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:04.837484
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:04.837543
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:05.349034
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:05.349091
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:05.869973
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:05.885696
ue1,-12.0,23.0,0.0,2,2025-07-20 03:24:06.380674
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:06.423238
ue1,-12.0,23.0,0.0,2,2025-07-20 03:24:06.891274
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:06.946596
ue1,-12.0,26.0,0.0,2,2025-07-20 03:24:07.391823
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:07.478120
ue1,-12.0,26.0,0.0,2,2025-07-20 03:24:07.892352
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:07.992577
ue1,-11.0,25.0,0.0,1,2025-07-20 03:24:08.394491
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:08.501654
ue1,-11.0,25.0,0.0,1,2025-07-20 03:24:08.911310
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:09.002285
ue1,-11.0,25.0,0.0,1,2025-07-20 03:24:09.411737
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:09.513900
ue1,-11.0,25.0,0.0,1,2025-07-20 03:24:09.912521
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:10.033640
ue1,-11.0,24.0,0.0,1,2025-07-20 03:24:10.436910
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:10.537409
ue1,-11.0,24.0,0.0,1,2025-07-20 03:24:10.937277
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:11.053950
ue1,-11.0,24.0,0.0,1,2025-07-20 03:24:11.437703
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:11.570995
ue1,-12.0,24.0,0.0,2,2025-07-20 03:24:11.953397
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:12.090444
ue1,-11.0,24.0,0.0,1,2025-07-20 03:24:12.476199
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:12.600391
ue1,-12.0,23.0,0.0,2,2025-07-20 03:24:12.986772
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:13.124274
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:13.502628
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:13.640153
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:14.003313
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:14.183668
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:14.503878
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:14.706999
ue1,-12.0,23.0,0.0,2,2025-07-20 03:24:15.004408
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:15.225772
ue1,-12.0,23.0,0.0,2,2025-07-20 03:24:15.525395
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:15.733988
ue1,-12.0,23.0,0.0,2,2025-07-20 03:24:16.025868
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:16.260051
ue1,-11.0,22.0,0.0,1,2025-07-20 03:24:16.526238
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:16.798200
ue1,-11.0,22.0,0.0,1,2025-07-20 03:24:17.037878
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:17.300745
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:17.614768
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:17.839835
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:18.131065
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:18.362688
ue1,-12.0,23.0,0.0,2,2025-07-20 03:24:18.644047
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:18.898011
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:19.162857
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:19.518653
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:19.774059
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:20.019199
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:20.274534
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:20.519796
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:20.775172
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:21.020825
ue1,-12.0,23.0,0.0,2,2025-07-20 03:24:21.276467
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:21.521309
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:21.776799
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:22.021755
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:22.277148
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:22.524678
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:22.777574
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:23.025113
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:23.278010
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:23.525544
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:23.778342
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:24.025952
ue1,-12.0,23.0,0.0,2,2025-07-20 03:24:24.278685
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:24.526517
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:24.779112
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:25.026897
ue1,-12.0,23.0,0.0,2,2025-07-20 03:24:25.279449
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:25.527262
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:25.779794
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:26.027640
ue1,-11.0,25.0,0.0,1,2025-07-20 03:24:26.280192
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:26.528067
ue1,-11.0,25.0,0.0,1,2025-07-20 03:24:26.800376
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:27.052490
ue1,-11.0,25.0,0.0,1,2025-07-20 03:24:27.429598
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:27.797396
ue1,-11.0,25.0,0.0,1,2025-07-20 03:24:28.013239
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:28.345149
ue1,-12.0,24.0,0.0,2,2025-07-20 03:24:28.795434
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:28.933649
ue1,-11.0,24.0,0.0,1,2025-07-20 03:24:29.393021
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:29.510683
ue1,-11.0,24.0,0.0,1,2025-07-20 03:24:29.958827
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:30.102519
ue1,-11.0,24.0,0.0,1,2025-07-20 03:24:30.554142
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:30.658113
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:31.220726
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:31.270792
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:31.849352
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:31.865009
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:32.363984
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:32.503490
ue1,-12.0,23.0,0.0,2,2025-07-20 03:24:33.161558
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:33.233333
ue1,-11.0,22.0,0.0,1,2025-07-20 03:24:33.724885
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:33.807610
ue1,-11.0,22.0,0.0,1,2025-07-20 03:24:34.290764
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:34.353965
ue1,-11.0,22.0,0.0,1,2025-07-20 03:24:34.858920
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:34.867096
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:35.508962
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:35.591526
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:36.144727
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:36.217803
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:36.737923
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:36.765064
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:37.273002
ue1,-11.0,22.0,0.0,1,2025-07-20 03:24:37.365525
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:37.798707
ue1,-11.0,22.0,0.0,1,2025-07-20 03:24:37.951974
ue0,-11.0,26.0,1.0,0,2025-07-20 03:24:38.342070
ue1,-11.0,22.0,0.0,1,2025-07-20 03:24:38.511427
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:38.939334
ue1,-11.0,22.0,0.0,1,2025-07-20 03:24:39.398911
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:39.748202
ue1,-12.0,22.0,0.0,2,2025-07-20 03:24:39.983540
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:40.330302
ue1,-12.0,22.0,0.0,2,2025-07-20 03:24:40.588245
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:40.900885
ue1,-11.0,22.0,0.0,1,2025-07-20 03:24:41.165900
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:41.416593
ue1,-11.0,22.0,0.0,1,2025-07-20 03:24:41.814273
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:42.025810
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:42.494695
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:42.608888
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:43.020172
ue0,-11.0,24.0,1.0,0,2025-07-20 03:24:43.255490
ue1,-11.0,23.0,0.0,1,2025-07-20 03:24:43.589209
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:43.788113
ue1,-12.0,23.0,0.0,2,2025-07-20 03:24:44.258734
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:44.424178
ue1,-11.0,22.0,0.0,1,2025-07-20 03:24:44.880595
ue0,-11.0,25.0,1.0,0,2025-07-20 03:24:44.985866
