Time,<RSRP>,<RSRQ>,<SINR>
23:50:55,-58,-11,32
23:50:56,-57,-11,31
23:50:57,-57,-11,31
23:50:58,-57,-11,31
23:50:59,-57,-11,31
23:51:00,-57,-11,31
23:51:01,-57,-11,31
23:51:02,-57,-11,31
23:51:03,-57,-11,31
23:51:04,-57,-11,31
23:51:05,-58,-11,31
23:51:06,-57,-11,31
23:51:07,-57,-11,31
23:51:08,-57,-11,31
23:51:09,-57,-11,31
23:51:10,-57,-11,31
23:51:11,-57,-11,31
23:51:12,-58,-11,31
23:51:13,-58,-11,31
23:51:14,-58,-11,31
23:51:15,-58,-11,31
23:51:16,-58,-11,31
23:51:17,-57,-11,31
23:51:18,-57,-11,31
23:51:19,-57,-11,31
23:51:20,-57,-11,31
23:51:21,-57,-11,31
23:51:22,-57,-11,31
23:51:23,-58,-11,31
23:51:24,-57,-11,31
23:51:25,-57,-11,31
23:51:26,-57,-11,31
23:51:27,-57,-11,31
23:51:28,-57,-11,31
23:51:29,-58,-11,31
23:51:30,-57,-11,31
23:51:31,-57,-11,31
23:51:32,-58,-11,31
23:51:33,-57,-11,31
23:51:34,-58,-11,31
23:51:35,-58,-11,31
23:51:36,-58,-11,31
23:51:37,-58,-11,31
23:51:38,-58,-11,31
23:51:39,-58,-11,32
23:51:40,-58,-11,32
23:51:41,-58,-11,32
23:51:42,-58,-11,31
23:51:43,-58,-11,31
23:51:44,-58,-11,31
23:51:45,-58,-11,31
23:51:46,-57,-11,32
23:51:47,-59,-11,32
23:51:48,-58,-11,31
23:51:49,-58,-11,31
23:51:50,-58,-11,31
23:51:51,-58,-11,31
23:51:52,-59,-11,31
23:51:53,-58,-11,31
23:51:54,-58,-11,31
23:51:55,-58,-11,31
23:51:56,-58,-11,31
23:51:57,-59,-11,31
23:51:58,-57,-11,30
23:51:59,-59,-11,30
23:52:00,-60,-11,31
23:52:01,-60,-11,31
23:52:02,-60,-11,31
23:52:03,-60,-11,31
23:52:04,-60,-11,31
23:52:05,-61,-11,30
23:52:06,-59,-11,30
23:52:07,-58,-11,30
23:52:08,-58,-11,30
23:52:09,-59,-11,32
23:52:10,-58,-11,32
23:52:11,-59,-11,31
23:52:12,-58,-11,31
23:52:13,-58,-11,31
23:52:14,-58,-11,31
23:52:15,-58,-11,31
23:52:16,-58,-11,31
23:52:17,-58,-11,31
23:52:18,-58,-11,31
23:52:19,-58,-11,31
23:52:20,-58,-11,31
23:52:21,-59,-11,31
23:52:22,-59,-11,31
23:52:23,-57,-11,30
23:52:24,-58,-11,31
23:52:25,-59,-11,32
23:52:26,-58,-11,32
23:52:27,-59,-11,31
23:52:28,-58,-11,31
23:52:29,-59,-11,31
23:52:30,-58,-11,32
23:52:31,-58,-11,31
23:52:32,-58,-11,31
23:52:33,-58,-11,31
23:52:34,-58,-11,31
23:52:35,-58,-11,31
23:52:36,-58,-11,31
23:52:37,-58,-11,31
23:52:38,-58,-11,31
23:52:39,-58,-11,31
23:52:40,-59,-11,31
23:52:41,-59,-11,31
23:52:42,-60,-11,31
23:52:43,-58,-11,30
23:52:44,-59,-11,30
23:52:45,-59,-11,31
23:52:46,-58,-11,31
23:52:47,-58,-11,31
23:52:48,-59,-11,31
23:52:49,-59,-11,31
23:52:50,-58,-11,30
23:52:51,-59,-11,31
23:52:52,-58,-11,30
23:52:53,-58,-11,30
23:52:54,-59,-11,31
23:52:55,-59,-11,31
23:52:56,-59,-11,31
23:52:57,-59,-11,30
23:52:58,-58,-11,30
23:52:59,-59,-11,30
23:53:00,-58,-11,30
23:53:01,-58,-11,30
23:53:02,-58,-11,30
23:53:03,-58,-11,31
23:53:04,-57,-11,31
23:53:05,-57,-11,31
23:53:06,-58,-11,31
23:53:07,-59,-11,31
23:53:08,-58,-11,31
23:53:09,-59,-11,31
23:53:10,-58,-11,31
23:53:11,-58,-11,31
23:53:12,-57,-11,31
23:53:13,-58,-11,31
23:53:14,-58,-11,31
23:53:15,-58,-11,31
23:53:16,-58,-11,31
23:53:17,-57,-11,31
23:53:18,-58,-11,31
23:53:19,-57,-11,31
23:53:20,-58,-11,31
23:53:21,-59,-11,32
23:53:22,-58,-11,32
23:53:23,-58,-11,31
23:53:24,-58,-11,31
23:53:25,-57,-11,31
23:53:26,-59,-11,31
23:53:27,-59,-11,31
23:53:28,-59,-11,31
23:53:29,-59,-11,31
23:53:30,-59,-11,31
23:53:31,-58,-11,31
23:53:32,-58,-11,31
23:53:33,-59,-11,31
23:53:34,-59,-11,31
23:53:35,-59,-11,31
23:53:36,-58,-11,31
23:53:37,-58,-11,32
23:53:38,-58,-11,32
23:53:39,-57,-11,31
23:53:40,-59,-11,31
23:53:41,-58,-11,31
23:53:42,-59,-11,31
23:53:43,-59,-11,31
23:53:44,-58,-11,31
23:53:45,-58,-11,31
23:53:46,-59,-11,31
23:53:47,-58,-11,31
23:53:48,-58,-11,32
23:53:49,-58,-11,32
23:53:50,-58,-11,31
23:53:51,-58,-11,31
23:53:52,-57,-11,32
23:53:53,-58,-11,32
23:53:54,-59,-11,31
23:53:55,-59,-11,31
23:53:56,-59,-11,31
23:53:57,-59,-11,31
23:53:58,-59,-11,31
23:53:59,-58,-11,31
23:54:00,-59,-11,31
23:54:01,-58,-11,32
23:54:02,-58,-11,32
23:54:03,-58,-11,31
23:54:04,-59,-11,31
23:54:05,-58,-11,31
23:54:06,-56,-11,31
23:54:07,-57,-11,31
23:54:08,-58,-11,32
23:54:09,-57,-11,31
23:54:10,-61,-11,31
23:54:11,-61,-11,31
23:54:12,-61,-11,31
23:54:13,-58,-11,30
23:54:14,-58,-11,30
23:54:15,-55,-11,33
23:54:16,-60,-11,33
23:54:17,-60,-11,32
23:54:18,-58,-11,32
23:54:19,-54,-11,32
23:54:20,-63,-11,32
23:54:21,-58,-11,31
23:54:22,-54,-11,31
23:54:23,-55,-11,32
23:54:24,-65,-11,32
23:54:25,-69,-11,30
23:54:26,-69,-11,30
23:54:27,-67,-11,30
23:54:28,-67,-11,31
23:54:29,-67,-11,31
23:54:30,-63,-11,31
23:54:31,-64,-11,31
23:54:32,-64,-11,31
23:54:33,-60,-11,32
23:54:34,-70,-11,32
23:54:35,-64,-11,31
23:54:36,-63,-11,31
23:54:37,-67,-11,31
23:54:38,-60,-11,31
23:54:39,-60,-11,31
23:54:40,-60,-11,30
23:54:41,-61,-11,30
23:54:42,-61,-11,32
23:54:43,-61,-11,32
23:54:44,-57,-11,32
23:54:45,-65,-11,31
23:54:46,-56,-11,31
23:54:47,-54,-11,31
23:54:48,-59,-11,32
23:54:49,-63,-11,32
23:54:50,-64,-11,30
23:54:51,-66,-11,31
23:54:52,-61,-11,31
23:54:53,-61,-11,31
23:54:54,-62,-11,31
23:54:55,-63,-11,32
23:54:56,-62,-11,32
23:54:57,-63,-11,32
23:54:58,-63,-11,32
23:54:59,-63,-11,32
23:55:00,-63,-11,31
23:55:01,-63,-11,31
23:55:02,-62,-11,32
23:55:03,-62,-11,33
23:55:04,-62,-11,32
23:55:05,-63,-11,32
23:55:06,-62,-11,32
23:55:07,-62,-11,32
23:55:08,-63,-11,32
23:55:09,-63,-11,32
23:55:10,-62,-11,32
23:55:11,-62,-11,32
23:55:12,-63,-11,33
23:55:13,-62,-11,33
23:55:14,-62,-11,33
23:55:15,-62,-11,32
23:55:16,-60,-11,32
23:55:17,-62,-11,32
23:55:18,-62,-11,32
23:55:19,-63,-11,33
23:55:20,-63,-11,33
23:55:21,-63,-11,32
23:55:22,-63,-11,32
23:55:23,-62,-11,32
23:55:24,-63,-11,32
23:55:25,-63,-11,32
23:55:26,-62,-11,33
23:55:27,-63,-11,32
23:55:28,-63,-11,32
23:55:29,-62,-11,32
23:55:30,-62,-11,33
23:55:31,-62,-11,32
23:55:32,-62,-11,32
23:55:33,-61,-11,32
23:55:34,-61,-11,32
23:55:35,-62,-11,32
23:55:36,-63,-11,33
23:55:37,-62,-11,33
23:55:38,-62,-11,33
23:55:39,-62,-11,33
23:55:40,-62,-11,33
23:55:41,-63,-11,33
23:55:42,-62,-11,32
23:55:43,-62,-11,32
23:55:44,-61,-11,32
23:55:45,-61,-11,33
23:55:46,-62,-11,33
23:55:47,-63,-11,33
23:55:48,-63,-11,33
23:55:49,-62,-11,33
23:55:50,-64,-11,33
23:55:51,-63,-11,33
23:55:52,-62,-11,33
23:55:53,-62,-11,33
23:55:54,-62,-11,33
23:55:55,-63,-11,33
23:55:56,-63,-11,33
23:55:57,-63,-11,32
23:55:58,-62,-11,33
23:55:59,-62,-11,33
23:56:00,-61,-11,33
23:56:01,-61,-11,33
23:56:02,-61,-11,33
23:56:03,-61,-11,32
23:56:04,-62,-11,33
23:56:05,-63,-11,33
23:56:06,-62,-11,33
23:56:07,-62,-11,33
23:56:08,-61,-11,33
23:56:09,-63,-11,33
23:56:10,-63,-11,33
23:56:11,-63,-11,33
23:56:12,-63,-11,33
23:56:13,-62,-11,33
23:56:14,-61,-11,33
23:56:15,-63,-11,33
23:56:16,-63,-11,33
23:56:17,-62,-11,33
23:56:18,-62,-11,33
23:56:19,-62,-11,33
23:56:20,-62,-11,33
23:56:21,-62,-11,32
23:56:22,-62,-11,32
23:56:23,-61,-11,32
23:56:24,-60,-11,32
23:56:25,-62,-11,32
23:56:26,-60,-11,32
23:56:27,-62,-11,34
23:56:28,-62,-11,34
23:56:29,-62,-11,32
23:56:30,-62,-11,32
23:56:31,-61,-11,32
23:56:32,-62,-11,32
23:56:33,-61,-11,32
23:56:34,-61,-11,32
23:56:35,-63,-11,32
23:56:36,-62,-11,33
23:56:37,-62,-11,33
23:56:38,-63,-11,32
23:56:39,-62,-11,32
23:56:40,-62,-11,32
23:56:41,-62,-11,32
23:56:42,-61,-11,32
23:56:43,-61,-11,32
23:56:44,-62,-11,32
23:56:45,-62,-11,33
