Time,<RSRP>,<RSRQ>,<SINR>,Cluster,Actual State
23:50:55,-55.0,-11.0,34.0,0,2
23:50:56,-55.0,-11.0,33.0,0,2
23:50:57,-56.0,-11.0,33.0,0,2
23:50:58,-56.0,-11.0,33.0,0,2
23:50:59,-56.0,-11.0,33.0,0,0
23:51:00,-56.0,-11.0,33.0,0,0
23:51:01,-56.0,-11.0,33.0,0,0
23:51:02,-56.0,-11.0,33.0,0,0
23:51:03,-56.0,-11.0,33.0,0,0
23:51:04,-56.0,-11.0,33.0,0,0
23:51:05,-56.0,-11.0,33.0,0,0
23:51:06,-55.0,-11.0,35.0,0,0
23:51:07,-56.0,-11.0,33.0,0,0
23:51:08,-56.0,-11.0,33.0,0,0
23:51:09,-55.0,-11.0,33.0,0,0
23:51:10,-57.0,-11.0,33.0,0,0
23:51:11,-56.0,-11.0,33.0,0,0
23:51:12,-56.0,-11.0,33.0,0,0
23:51:13,-56.0,-11.0,33.0,0,0
23:51:14,-56.0,-11.0,33.0,0,0
23:51:15,-56.0,-11.0,33.0,0,0
23:51:16,-56.0,-11.0,33.0,0,0
23:51:17,-56.0,-11.0,33.0,0,0
23:51:18,-56.0,-11.0,33.0,0,0
23:51:19,-56.0,-11.0,33.0,0,0
23:51:20,-56.0,-11.0,34.0,0,0
23:51:21,-56.0,-11.0,34.0,0,0
23:51:22,-56.0,-11.0,34.0,0,0
23:51:23,-56.0,-11.0,33.0,0,0
23:51:24,-56.0,-11.0,33.0,0,0
23:51:25,-56.0,-11.0,33.0,0,0
23:51:26,-56.0,-11.0,33.0,0,0
23:51:27,-56.0,-11.0,33.0,0,0
23:51:28,-56.0,-11.0,33.0,0,0
23:51:29,-56.0,-11.0,33.0,0,0
23:51:30,-56.0,-11.0,35.0,0,0
23:51:31,-57.0,-11.0,35.0,0,0
23:51:32,-56.0,-11.0,34.0,0,0
23:51:33,-56.0,-11.0,33.0,0,0
23:51:34,-56.0,-11.0,33.0,0,0
23:51:35,-56.0,-11.0,33.0,0,0
23:51:36,-56.0,-11.0,33.0,0,0
23:51:37,-56.0,-11.0,33.0,0,0
23:51:38,-56.0,-11.0,33.0,0,0
23:51:39,-56.0,-11.0,33.0,0,0
23:51:40,-56.0,-11.0,33.0,0,0
23:51:41,-56.0,-11.0,33.0,0,0
23:51:42,-56.0,-11.0,33.0,0,0
23:51:43,-56.0,-11.0,33.0,0,0
23:51:44,-56.0,-11.0,33.0,0,0
23:51:45,-56.0,-11.0,33.0,0,0
23:51:46,-56.0,-11.0,33.0,0,0
23:51:47,-56.0,-11.0,35.0,0,0
23:51:48,-56.0,-11.0,33.0,0,0
23:51:49,-56.0,-11.0,33.0,0,0
23:51:50,-56.0,-11.0,33.0,0,0
23:51:51,-56.0,-11.0,33.0,0,0
23:51:52,-56.0,-11.0,34.0,0,0
23:51:53,-56.0,-11.0,34.0,0,0
23:51:54,-57.0,-11.0,33.0,0,0
23:51:55,-56.0,-11.0,33.0,0,0
23:51:56,-56.0,-11.0,33.0,0,0
23:51:57,-56.0,-11.0,33.0,0,0
23:51:58,-56.0,-11.0,33.0,0,0
23:51:59,-56.0,-11.0,33.0,0,0
23:52:00,-56.0,-11.0,33.0,0,0
23:52:01,-56.0,-11.0,33.0,0,0
23:52:02,-56.0,-11.0,33.0,0,0
