Time,<RSRP>,<RSRQ>,<SINR>,Cluster
23:50:55,-55,-11,34,1
23:50:56,-55,-11,33,1
23:50:57,-56,-11,33,1
23:50:58,-56,-11,33,1
23:50:59,-56,-11,33,1
23:51:00,-56,-11,33,1
23:51:01,-56,-11,33,1
23:51:02,-56,-11,33,1
23:51:03,-56,-11,33,1
23:51:04,-56,-11,33,1
23:51:05,-56,-11,33,1
23:51:06,-55,-11,35,1
23:51:07,-56,-11,33,1
23:51:08,-56,-11,33,1
23:51:09,-55,-11,33,1
23:51:10,-57,-11,33,1
23:51:11,-56,-11,33,1
23:51:12,-56,-11,33,1
23:51:13,-56,-11,33,1
23:51:14,-56,-11,33,1
23:51:15,-56,-11,33,1
23:51:16,-56,-11,33,1
23:51:17,-56,-11,33,1
23:51:18,-56,-11,33,1
23:51:19,-56,-11,33,1
23:51:20,-56,-11,34,1
23:51:21,-56,-11,34,1
23:51:22,-56,-11,34,1
23:51:23,-56,-11,33,1
23:51:24,-56,-11,33,1
23:51:25,-56,-11,33,1
23:51:26,-56,-11,33,1
23:51:27,-56,-11,33,1
23:51:28,-56,-11,33,1
23:51:29,-56,-11,33,1
23:51:30,-56,-11,35,1
23:51:31,-57,-11,35,1
23:51:32,-56,-11,34,1
23:51:33,-56,-11,33,1
23:51:34,-56,-11,33,1
23:51:35,-56,-11,33,1
23:51:36,-56,-11,33,1
23:51:37,-56,-11,33,1
23:51:38,-56,-11,33,1
23:51:39,-56,-11,33,1
23:51:40,-56,-11,33,1
23:51:41,-56,-11,33,1
23:51:42,-56,-11,33,1
23:51:43,-56,-11,33,1
23:51:44,-56,-11,33,1
23:51:45,-56,-11,33,1
23:51:46,-56,-11,33,1
23:51:47,-56,-11,35,1
23:51:48,-56,-11,33,1
23:51:49,-56,-11,33,1
23:51:50,-56,-11,33,1
23:51:51,-56,-11,33,1
23:51:52,-56,-11,34,1
23:51:53,-56,-11,34,1
23:51:54,-57,-11,33,1
23:51:55,-56,-11,33,1
23:51:56,-56,-11,33,1
23:51:57,-56,-11,33,1
23:51:58,-56,-11,33,1
23:51:59,-56,-11,33,1
23:52:00,-56,-11,33,1
23:52:01,-56,-11,33,1
23:52:02,-56,-11,33,1
23:52:03,-56,-11,33,1
23:52:04,-56,-11,33,1
23:52:05,-56,-11,33,1
23:52:06,-56,-11,34,1
23:52:07,-56,-11,33,1
23:52:08,-56,-11,33,1
23:52:09,-56,-11,33,1
23:52:10,-56,-11,33,1
23:52:11,-56,-11,33,1
23:52:12,-57,-11,33,1
23:52:13,-56,-11,33,1
23:52:14,-56,-11,33,1
23:52:15,-56,-11,33,1
23:52:16,-56,-11,33,1
23:52:17,-56,-11,33,1
23:52:18,-56,-11,33,1
23:52:19,-56,-11,33,1
23:52:20,-56,-11,33,1
23:52:21,-57,-11,33,1
23:52:22,-57,-11,33,1
23:52:23,-56,-11,33,1
23:52:24,-56,-11,34,1
23:52:25,-56,-11,34,1
23:52:26,-57,-11,33,1
23:52:27,-57,-11,33,1
23:52:28,-56,-11,34,1
23:52:29,-57,-11,34,1
23:52:30,-57,-11,33,1
23:52:31,-56,-11,33,1
23:52:32,-56,-11,33,1
23:52:33,-56,-11,33,1
23:52:34,-56,-11,34,1
23:52:35,-56,-11,33,1
23:52:36,-56,-11,33,1
23:52:37,-56,-11,33,1
23:52:38,-56,-11,33,1
23:52:39,-57,-11,34,1
23:52:40,-57,-11,34,1
