Time,UE1 RSRP,UE1 RSRQ,UE1 SINR,UE1 Datagrams Loss Ratio,UE1 Total Datagrams
19:14:13,-63,-11,32,0.00E+00,1820
19:14:14,-61,-11,32,0.00E+00,1830
19:14:15,-62,-11,32,0.00E+00,1792
19:14:16,-63,-11,32,0.00E+00,1879
19:14:17,-62,-11,31,6.00E-04,1807
19:14:18,-63,-11,31,0.00E+00,1827
19:14:19,-62,-11,32,0.00E+00,1836
19:14:20,-62,-11,31,0.00E+00,1796
19:14:21,,,,0.00E+00,1790
19:14:22,-60,-11,31,0.00E+00,1922
19:14:23,-61,-11,31,0.00E+00,1836
19:14:24,-60,-11,31,0.00E+00,1829
19:14:25,-60,-11,31,0.00E+00,1826
19:14:26,-61,-11,31,0.00E+00,1847
19:14:27,-61,-11,31,0.00E+00,1798
19:14:28,-60,-11,31,0.00E+00,1763
19:14:29,-61,-11,31,0.00E+00,1891
19:14:30,-62,-11,31,8.00E-03,1864
19:14:31,-61,-11,31,0.00E+00,1840
19:14:32,-61,-11,31,0.00E+00,1804
19:14:33,-60,-11,31,0.00E+00,1838
19:14:34,-62,-11,31,0.00E+00,1853
19:14:35,,,,0.00E+00,1698
19:14:36,-62,-11,31,0.00E+00,1965
19:14:37,-62,-11,31,0.00E+00,1826
19:14:38,-61,-11,31,0.00E+00,1832
19:14:39,-62,-11,31,0.00E+00,1818
19:14:40,-64,-11,31,0.00E+00,1782
19:14:41,-62,-11,31,0.00E+00,1762
19:14:42,-61,-11,31,0.00E+00,1852
19:14:43,-60,-11,31,0.00E+00,1884
19:14:44,-60,-11,32,0.00E+00,1886
19:14:45,-59,-11,32,0.00E+00,1835
19:14:46,-60,-11,32,0.00E+00,1759
19:14:47,-59,-11,32,0.00E+00,1861
19:14:48,-60,-11,31,0.00E+00,1813
19:14:49,,,,0.00E+00,1895
19:14:50,-61,-11,31,0.00E+00,1809
19:14:51,-60,-11,31,1.00E-03,1825
19:14:52,-59,-11,31,0.00E+00,1848
19:14:53,-60,-11,32,0.00E+00,1844
19:14:54,-59,-11,32,0.00E+00,1824
19:14:55,-60,-11,32,0.00E+00,1837
19:14:56,-61,-11,31,0.00E+00,1786
19:14:57,-60,-11,31,0.00E+00,1865
19:14:58,-60,-11,31,0.00E+00,1804
19:14:59,-60,-11,31,0.00E+00,1862
19:15:00,-59,-11,32,0.00E+00,1831
19:15:01,-59,-11,32,0.00E+00,1741
19:15:02,-60,-11,31,0.00E+00,1930
19:15:03,,,,0.00E+00,1823
19:15:04,-61,-11,31,0.00E+00,1783
19:15:05,-61,-11,32,0.00E+00,1824
19:15:06,-60,-11,32,0.00E+00,1888
19:15:07,-61,-11,31,0.00E+00,1822
19:15:08,-61,-11,31,0.00E+00,1819
19:15:09,-61,-11,31,0.00E+00,1856
19:15:10,-61,-11,31,0.00E+00,1825
19:15:11,-60,-11,32,0.00E+00,1810
19:15:12,-61,-11,32,0.00E+00,1848
19:15:13,-60,-11,31,0.00E+00,1781
19:15:14,-60,-11,31,0.00E+00,1883
19:15:15,-61,-11,32,0.00E+00,1835
19:15:16,-61,-11,32,5.00E-03,1829
19:15:17,,,,0.00E+00,1836
19:15:18,-61,-11,32,0.00E+00,1774
19:15:19,-61,-11,32,0.00E+00,1888
19:15:20,-62,-11,32,0.00E+00,1807
19:15:21,-62,-11,32,0.00E+00,1850
19:15:22,-61,-11,32,0.00E+00,1830
19:15:23,-62,-11,32,0.00E+00,1739
19:15:24,-61,-11,32,0.00E+00,1927
19:15:25,-61,-11,32,0.00E+00,1828
19:15:26,-60,-11,32,0.00E+00,1836
19:15:27,-61,-11,32,0.00E+00,1834
19:15:28,-61,-11,32,0.00E+00,1808
19:15:29,-60,-11,32,0.00E+00,1858
19:15:30,-61,-11,32,0.00E+00,1822
19:15:31,,,,0.00E+00,1806
19:15:32,-62,-11,32,0.00E+00,1858
19:15:33,-61,-11,32,0.00E+00,1833
19:15:34,-62,-11,32,0.00E+00,1791
19:15:35,-61,-11,32,0.00E+00,1864
19:15:36,-62,-11,32,0.00E+00,1831
19:15:37,-62,-11,32,0.00E+00,1831
19:15:38,-62,-11,32,0.00E+00,1826
19:15:39,-61,-11,32,0.00E+00,1838
19:15:40,-59,-11,32,0.00E+00,1839
19:15:41,-59,-11,31,0.00E+00,1819
19:15:42,-60,-11,32,0.00E+00,1838
19:15:43,-60,-11,32,0.00E+00,1820
19:15:44,-59,-11,31,0.00E+00,1804
19:15:45,,,,0.00E+00,1875
19:15:46,-59,-11,31,0.00E+00,1828
19:15:47,-60,-11,31,0.00E+00,1807
19:15:48,-60,-11,31,0.00E+00,1844
19:15:49,-60,-11,31,0.00E+00,1842
19:15:50,-61,-11,32,0.00E+00,1830
19:15:51,-62,-11,32,0.00E+00,1814
19:15:52,-60,-11,31,0.00E+00,1844
19:15:53,-62,-11,32,0.00E+00,1794
19:15:54,-60,-11,31,0.00E+00,1870
19:15:55,-62,-11,31,0.00E+00,1826
19:15:56,-62,-11,32,0.00E+00,1839
19:15:57,-62,-11,32,0.00E+00,1819
19:15:58,-58,-11,31,0.00E+00,1844
19:15:59,,,,0.00E+00,1833
19:16:00,-64,-11,31,0.00E+00,1829
19:16:01,-63,-11,30,0.00E+00,1836
19:16:02,-63,-11,30,0.00E+00,1828
19:16:03,-61,-11,31,0.00E+00,1836
19:16:04,-61,-11,31,0.00E+00,1823
19:16:05,-63,-11,31,0.00E+00,1837
19:16:06,-61,-11,31,0.00E+00,1828
19:16:07,-61,-11,31,0.00E+00,1836
19:16:08,-61,-11,31,0.00E+00,1823
19:16:09,-62,-11,31,0.00E+00,1832
19:16:10,-62,-11,31,0.00E+00,1826
19:16:11,-64,-11,31,0.00E+00,1840
19:16:12,-63,-11,31,0.00E+00,1830
19:16:13,,,,0.00E+00,1830
19:16:14,-62,-11,31,0.00E+00,1829
19:16:15,-62,-11,31,0.00E+00,1838
19:16:16,-64,-11,31,0.00E+00,1820
19:16:17,-62,-11,31,0.00E+00,1840
19:16:18,-63,-11,31,0.00E+00,1826
19:16:19,-64,-11,31,0.00E+00,1835
