UE,RSRP,RSRQ,SINR,Cluster,Time
ue1,-100.0,-8.0,16.0,0,2025-06-07 23:22:53.261877
ue0,-91.0,-15.0,7.0,2,2025-06-07 23:22:53.263994
ue1,-103.0,-13.0,15.0,0,2025-06-07 23:22:54.513592
ue0,-92.0,-15.0,7.0,2,2025-06-07 23:22:54.515582
ue1,-101.0,-9.0,15.0,0,2025-06-07 23:22:55.765090
ue0,-91.0,-15.0,8.0,2,2025-06-07 23:22:55.767537
ue1,-101.0,-13.0,16.0,0,2025-06-07 23:22:57.016644
ue0,-91.0,-15.0,8.0,2,2025-06-07 23:22:57.019017
ue0,-91.0,-15.0,8.0,2,2025-06-07 23:22:58.271616
ue1,-102.0,-13.0,15.0,0,2025-06-07 23:22:58.271727
ue1,-102.0,-13.0,15.0,0,2025-06-07 23:22:59.523184
ue0,-91.0,-15.0,8.0,2,2025-06-07 23:22:59.523253
ue1,-102.0,-13.0,15.0,0,2025-06-07 23:23:00.774716
ue0,-92.0,-15.0,8.0,2,2025-06-07 23:23:00.774746
ue0,-88.0,-12.0,9.0,2,2025-06-07 23:23:02.026277
ue1,-103.0,-10.0,15.0,0,2025-06-07 23:23:02.026348
ue0,-88.0,-13.0,10.0,2,2025-06-07 23:23:03.277819
ue1,-104.0,-9.0,14.0,0,2025-06-07 23:23:03.277922
ue1,-104.0,-11.0,14.0,0,2025-06-07 23:23:04.529378
ue0,-87.0,-12.0,10.0,2,2025-06-07 23:23:04.529419
ue1,-109.0,-9.0,10.0,0,2025-06-07 23:23:05.781436
ue0,-87.0,-12.0,9.0,2,2025-06-07 23:23:05.781464
ue0,-87.0,-11.0,10.0,2,2025-06-07 23:23:07.039779
ue1,-109.0,-15.0,14.0,0,2025-06-07 23:23:07.052372
ue1,-109.0,-12.0,13.0,0,2025-06-07 23:23:08.322066
ue0,-88.0,-11.0,10.0,2,2025-06-07 23:23:08.322109
ue0,-87.0,-12.0,9.0,2,2025-06-07 23:23:09.583698
ue1,-108.0,-12.0,14.0,0,2025-06-07 23:23:09.606600
ue0,-87.0,-11.0,10.0,2,2025-06-07 23:23:10.860161
ue1,-110.0,-13.0,13.0,0,2025-06-07 23:23:10.862058
ue0,-87.0,-11.0,10.0,2,2025-06-07 23:23:12.121894
ue1,-109.0,-9.0,16.0,0,2025-06-07 23:23:12.121934
ue0,-88.0,-12.0,10.0,2,2025-06-07 23:23:13.388657
ue1,-107.0,-9.0,14.0,0,2025-06-07 23:23:13.388689
ue1,-107.0,-10.0,14.0,0,2025-06-07 23:23:14.663120
ue0,-87.0,-12.0,10.0,2,2025-06-07 23:23:14.708786
ue0,-87.0,-12.0,10.0,2,2025-06-07 23:23:16.002045
ue1,-108.0,-13.0,12.0,0,2025-06-07 23:23:16.018733
ue0,-87.0,-11.0,10.0,2,2025-06-07 23:23:17.253512
ue1,-107.0,-13.0,14.0,0,2025-06-07 23:23:17.270254
ue0,-87.0,-11.0,10.0,2,2025-06-07 23:23:18.505016
ue1,-106.0,-13.0,15.0,0,2025-06-07 23:23:18.521837
ue0,-87.0,-11.0,10.0,2,2025-06-07 23:23:19.767325
ue1,-108.0,-13.0,13.0,0,2025-06-07 23:23:19.776783
ue1,-107.0,-12.0,14.0,0,2025-06-07 23:23:21.033393
ue0,-87.0,-11.0,10.0,2,2025-06-07 23:23:21.033426
ue1,-108.0,-12.0,13.0,0,2025-06-07 23:23:22.300011
ue0,-87.0,-12.0,10.0,2,2025-06-07 23:23:22.300121
ue1,-109.0,-9.0,15.0,0,2025-06-07 23:23:23.551601
ue0,-87.0,-11.0,9.0,2,2025-06-07 23:23:23.551674
ue1,-107.0,-12.0,15.0,0,2025-06-07 23:23:24.803113
ue0,-87.0,-12.0,10.0,2,2025-06-07 23:23:24.803496
ue0,-87.0,-12.0,10.0,2,2025-06-07 23:23:26.056586
ue1,-109.0,-12.0,13.0,0,2025-06-07 23:23:26.056655
ue0,-87.0,-12.0,10.0,2,2025-06-07 23:23:27.316168
ue1,-109.0,-12.0,14.0,0,2025-06-07 23:23:27.343778
ue0,-87.0,-11.0,10.0,2,2025-06-07 23:23:28.596835
ue1,-108.0,-11.0,16.0,0,2025-06-07 23:23:28.624557
ue0,-87.0,-11.0,10.0,2,2025-06-07 23:23:29.858541
ue1,-106.0,-12.0,14.0,0,2025-06-07 23:23:29.887527
ue0,-87.0,-11.0,10.0,2,2025-06-07 23:23:31.130589
ue1,-110.0,-13.0,14.0,0,2025-06-07 23:23:31.158801
ue0,-87.0,-11.0,10.0,2,2025-06-07 23:23:32.398981
ue1,-107.0,-12.0,14.0,0,2025-06-07 23:23:32.410258
ue0,-87.0,-11.0,10.0,2,2025-06-07 23:23:33.655477
ue1,-108.0,-12.0,14.0,0,2025-06-07 23:23:33.661807
ue1,-106.0,-10.0,16.0,0,2025-06-07 23:23:34.948837
ue0,-87.0,-11.0,10.0,2,2025-06-07 23:23:34.959052
ue1,-107.0,-12.0,14.0,0,2025-06-07 23:23:36.199534
ue0,-87.0,-11.0,10.0,2,2025-06-07 23:23:36.210441
ue1,-108.0,-16.0,16.0,0,2025-06-07 23:23:37.451056
ue0,-87.0,-11.0,9.0,2,2025-06-07 23:23:37.462005
ue1,-107.0,-16.0,16.0,0,2025-06-07 23:23:38.702550
ue0,-87.0,-12.0,10.0,2,2025-06-07 23:23:38.712852
ue1,-107.0,-13.0,14.0,0,2025-06-07 23:23:39.954098
ue0,-87.0,-11.0,10.0,2,2025-06-07 23:23:39.964751
ue1,-107.0,-10.0,16.0,0,2025-06-07 23:23:41.205607
ue0,-87.0,-11.0,11.0,2,2025-06-07 23:23:41.215685
ue1,-108.0,-11.0,15.0,0,2025-06-07 23:23:42.456371
ue0,-88.0,-11.0,10.0,2,2025-06-07 23:23:42.467414
ue1,-109.0,-12.0,14.0,0,2025-06-07 23:23:43.707589
ue0,-88.0,-11.0,9.0,2,2025-06-07 23:23:43.719074
ue1,-106.0,-9.0,17.0,0,2025-06-07 23:23:44.959105
ue0,-88.0,-12.0,9.0,2,2025-06-07 23:23:44.970553
ue1,-108.0,-9.0,15.0,0,2025-06-07 23:23:46.210647
ue0,-90.0,-13.0,9.0,2,2025-06-07 23:23:46.222061
ue1,-110.0,-14.0,11.0,1,2025-06-07 23:23:47.462180
ue0,-91.0,-14.0,8.0,2,2025-06-07 23:23:47.473589
ue1,-110.0,-13.0,13.0,0,2025-06-07 23:23:48.713671
ue0,-91.0,-15.0,9.0,2,2025-06-07 23:23:48.725041
ue1,-110.0,-12.0,13.0,0,2025-06-07 23:23:49.965213
ue0,-91.0,-14.0,8.0,2,2025-06-07 23:23:49.976580
ue1,-109.0,-13.0,13.0,0,2025-06-07 23:23:51.231918
ue0,-89.0,-12.0,12.0,2,2025-06-07 23:23:51.231981
ue1,-109.0,-10.0,12.0,0,2025-06-07 23:23:52.563206
ue0,-86.0,-12.0,10.0,2,2025-06-07 23:23:52.563293
ue1,-109.0,-11.0,15.0,0,2025-06-07 23:23:53.822771
ue0,-88.0,-11.0,10.0,2,2025-06-07 23:23:53.822840
ue1,-109.0,-11.0,15.0,0,2025-06-07 23:23:55.081343
ue0,-89.0,-11.0,10.0,2,2025-06-07 23:23:55.081373
ue0,-89.0,-11.0,10.0,2,2025-06-07 23:23:56.334061
ue1,-111.0,-12.0,13.0,0,2025-06-07 23:23:56.345273
ue0,-89.0,-11.0,10.0,2,2025-06-07 23:23:57.587563
ue1,-112.0,-11.0,14.0,0,2025-06-07 23:23:57.628204
ue0,-89.0,-11.0,10.0,2,2025-06-07 23:23:58.839082
ue1,-113.0,-11.0,13.0,0,2025-06-07 23:23:58.880919
ue0,-88.0,-11.0,10.0,2,2025-06-07 23:24:00.089704
ue1,-111.0,-12.0,14.0,0,2025-06-07 23:24:00.131818
ue0,-89.0,-12.0,10.0,2,2025-06-07 23:24:01.341201
ue1,-108.0,-9.0,12.0,0,2025-06-07 23:24:01.383655
ue0,-89.0,-12.0,10.0,2,2025-06-07 23:24:02.592673
ue1,-111.0,-12.0,14.0,0,2025-06-07 23:24:02.635632
ue0,-89.0,-12.0,10.0,2,2025-06-07 23:24:03.843558
ue1,-109.0,-13.0,13.0,0,2025-06-07 23:24:03.886956
ue0,-88.0,-12.0,10.0,2,2025-06-07 23:24:05.094545
ue1,-108.0,-11.0,14.0,0,2025-06-07 23:24:05.138471
ue0,-89.0,-11.0,10.0,2,2025-06-07 23:24:06.356788
ue1,-109.0,-10.0,15.0,0,2025-06-07 23:24:06.389970
ue0,-88.0,-12.0,10.0,2,2025-06-07 23:24:07.607550
ue1,-108.0,-10.0,15.0,0,2025-06-07 23:24:07.641468
ue0,-88.0,-12.0,10.0,2,2025-06-07 23:24:08.859069
ue1,-108.0,-12.0,15.0,0,2025-06-07 23:24:08.892959
ue0,-88.0,-12.0,11.0,2,2025-06-07 23:24:10.123565
ue1,-107.0,-9.0,15.0,0,2025-06-07 23:24:10.143531
ue0,-89.0,-12.0,10.0,2,2025-06-07 23:24:11.375034
ue1,-109.0,-12.0,14.0,0,2025-06-07 23:24:11.395044
ue1,-108.0,-12.0,14.0,0,2025-06-07 23:24:12.672770
ue0,-89.0,-12.0,9.0,2,2025-06-07 23:24:12.672875
ue1,-109.0,-10.0,13.0,0,2025-06-07 23:24:13.929422
ue0,-89.0,-12.0,10.0,2,2025-06-07 23:24:13.929530
ue1,-109.0,-9.0,14.0,0,2025-06-07 23:24:15.180787
