UE,RSRP,RSRQ,SINR,Cluster,Time
ue0,-74.0,-9.0,19.0,1,2025-11-24 17:06:51.913189
ue1,-72.0,-10.0,19.0,1,2025-11-24 17:06:51.913620
ue0,-74.0,-8.0,22.0,0,2025-11-24 17:06:52.415308
ue1,-72.0,-9.0,18.0,1,2025-11-24 17:06:52.415364
ue1,-72.0,-9.0,18.0,1,2025-11-24 17:06:52.916127
ue0,-74.0,-8.0,19.0,0,2025-11-24 17:06:52.916170
ue1,-72.0,-9.0,18.0,1,2025-11-24 17:06:53.416919
ue0,-74.0,-8.0,23.0,0,2025-11-24 17:06:53.416976
ue1,-73.0,-9.0,19.0,1,2025-11-24 17:06:53.917789
ue0,-73.0,-9.0,9.0,2,2025-11-24 17:06:53.917865
ue0,-72.0,-8.0,9.0,2,2025-11-24 17:06:54.433835
ue1,-73.0,-9.0,19.0,1,2025-11-24 17:06:54.441278
ue0,-73.0,-7.0,9.0,2,2025-11-24 17:06:54.934667
ue1,-70.0,-7.0,17.0,0,2025-11-24 17:06:54.942014
ue0,-72.0,-8.0,19.0,0,2025-11-24 17:06:55.435428
ue1,-70.0,-7.0,17.0,0,2025-11-24 17:06:55.442651
ue0,-73.0,-10.0,7.0,2,2025-11-24 17:06:55.936290
ue1,-70.0,-7.0,17.0,0,2025-11-24 17:06:55.943525
ue0,-72.0,-9.0,8.0,2,2025-11-24 17:06:56.437087
ue1,-68.0,-9.0,16.0,1,2025-11-24 17:06:56.444336
ue0,-72.0,-9.0,9.0,2,2025-11-24 17:06:56.937914
ue1,-68.0,-9.0,16.0,1,2025-11-24 17:06:56.945174
ue0,-72.0,-9.0,9.0,2,2025-11-24 17:06:57.438718
ue1,-68.0,-9.0,16.0,1,2025-11-24 17:06:57.445944
ue0,-72.0,-9.0,9.0,2,2025-11-24 17:06:57.939536
ue1,-68.0,-10.0,17.0,1,2025-11-24 17:06:57.946676
ue0,-72.0,-8.0,8.0,2,2025-11-24 17:06:58.440321
ue1,-68.0,-10.0,17.0,1,2025-11-24 17:06:58.447441
ue0,-73.0,-8.0,8.0,2,2025-11-24 17:06:58.941153
ue1,-68.0,-10.0,17.0,1,2025-11-24 17:06:58.948223
ue0,-73.0,-8.0,9.0,2,2025-11-24 17:06:59.441943
ue1,-68.0,-10.0,17.0,1,2025-11-24 17:06:59.448997
ue0,-73.0,-9.0,7.0,2,2025-11-24 17:06:59.942712
ue1,-68.0,-10.0,17.0,1,2025-11-24 17:06:59.949753
ue0,-72.0,-9.0,8.0,2,2025-11-24 17:07:00.443491
ue1,-69.0,-10.0,18.0,1,2025-11-24 17:07:00.450617
ue0,-72.0,-9.0,7.0,2,2025-11-24 17:07:00.944264
ue1,-69.0,-10.0,18.0,1,2025-11-24 17:07:00.951381
ue0,-73.0,-10.0,5.0,2,2025-11-24 17:07:01.445039
ue1,-75.0,-7.0,16.0,0,2025-11-24 17:07:01.452162
ue0,-73.0,-10.0,4.0,2,2025-11-24 17:07:01.945836
ue1,-75.0,-7.0,16.0,0,2025-11-24 17:07:01.952900
ue0,-73.0,-9.0,5.0,2,2025-11-24 17:07:02.446618
ue1,-75.0,-7.0,16.0,0,2025-11-24 17:07:02.453656
ue0,-73.0,-9.0,9.0,2,2025-11-24 17:07:02.947416
ue1,-75.0,-8.0,17.0,0,2025-11-24 17:07:02.954456
ue0,-73.0,-9.0,8.0,2,2025-11-24 17:07:03.448170
ue1,-75.0,-8.0,17.0,0,2025-11-24 17:07:03.455197
ue0,-74.0,-10.0,3.0,2,2025-11-24 17:07:03.949575
ue1,-72.0,-10.0,15.0,1,2025-11-24 17:07:03.955924
ue0,-73.0,-11.0,6.0,2,2025-11-24 17:07:04.450380
ue1,-72.0,-10.0,15.0,1,2025-11-24 17:07:04.456663
ue0,-73.0,-7.0,22.0,0,2025-11-24 17:07:04.951166
ue1,-72.0,-10.0,15.0,1,2025-11-24 17:07:04.958227
ue0,-72.0,-9.0,5.0,2,2025-11-24 17:07:05.451962
ue1,-73.0,-10.0,15.0,1,2025-11-24 17:07:05.459022
ue0,-72.0,-10.0,5.0,2,2025-11-24 17:07:05.952751
ue1,-73.0,-10.0,15.0,1,2025-11-24 17:07:05.959767
ue0,-72.0,-10.0,6.0,2,2025-11-24 17:07:06.453507
ue1,-72.0,-11.0,14.0,1,2025-11-24 17:07:06.460519
ue0,-72.0,-9.0,5.0,2,2025-11-24 17:07:06.954312
ue1,-72.0,-11.0,14.0,1,2025-11-24 17:07:06.961233
ue0,-72.0,-8.0,7.0,2,2025-11-24 17:07:07.455063
ue1,-72.0,-11.0,14.0,1,2025-11-24 17:07:07.461987
ue0,-72.0,-9.0,7.0,2,2025-11-24 17:07:07.955567
ue1,-72.0,-11.0,15.0,1,2025-11-24 17:07:07.962739
ue0,-72.0,-7.0,22.0,0,2025-11-24 17:07:08.456369
ue1,-72.0,-11.0,15.0,1,2025-11-24 17:07:08.463489
ue0,-72.0,-8.0,7.0,2,2025-11-24 17:07:08.957245
ue1,-72.0,-11.0,15.0,1,2025-11-24 17:07:08.964223
ue0,-72.0,-9.0,7.0,2,2025-11-24 17:07:09.459325
ue1,-71.0,-10.0,14.0,1,2025-11-24 17:07:09.503426
ue0,-73.0,-8.0,6.0,2,2025-11-24 17:07:09.960253
ue1,-71.0,-10.0,14.0,1,2025-11-24 17:07:10.026007
ue0,-73.0,-11.0,7.0,2,2025-11-24 17:07:10.461538
ue1,-71.0,-11.0,14.0,1,2025-11-24 17:07:10.557410
ue0,-73.0,-11.0,7.0,2,2025-11-24 17:07:10.962582
ue1,-71.0,-11.0,14.0,1,2025-11-24 17:07:11.058141
ue0,-73.0,-11.0,7.0,2,2025-11-24 17:07:11.463732
ue1,-71.0,-11.0,14.0,1,2025-11-24 17:07:11.565527
ue0,-73.0,-11.0,6.0,2,2025-11-24 17:07:11.964637
ue1,-71.0,-8.0,14.0,1,2025-11-24 17:07:12.066892
ue0,-73.0,-11.0,6.0,2,2025-11-24 17:07:12.465674
ue1,-71.0,-8.0,14.0,1,2025-11-24 17:07:12.595408
ue0,-73.0,-10.0,10.0,2,2025-11-24 17:07:12.966815
ue1,-71.0,-9.0,19.0,1,2025-11-24 17:07:13.096197
ue0,-73.0,-10.0,10.0,2,2025-11-24 17:07:13.467813
ue1,-71.0,-9.0,19.0,1,2025-11-24 17:07:13.610068
ue0,-73.0,-10.0,10.0,2,2025-11-24 17:07:13.968540
ue1,-71.0,-9.0,19.0,1,2025-11-24 17:07:14.131548
ue0,-72.0,-9.0,18.0,1,2025-11-24 17:07:14.469221
ue1,-72.0,-10.0,18.0,1,2025-11-24 17:07:14.632466
ue0,-72.0,-9.0,18.0,1,2025-11-24 17:07:14.969941
ue1,-72.0,-10.0,18.0,1,2025-11-24 17:07:15.133146
ue0,-73.0,-9.0,19.0,1,2025-11-24 17:07:15.470693
ue1,-73.0,-10.0,18.0,1,2025-11-24 17:07:15.636516
ue0,-73.0,-9.0,19.0,1,2025-11-24 17:07:15.971795
ue1,-73.0,-10.0,18.0,1,2025-11-24 17:07:16.137219
ue0,-73.0,-9.0,19.0,1,2025-11-24 17:07:16.472566
ue1,-73.0,-10.0,18.0,1,2025-11-24 17:07:16.638044
ue0,-73.0,-9.0,19.0,1,2025-11-24 17:07:16.973216
ue1,-73.0,-7.0,18.0,0,2025-11-24 17:07:17.139553
ue0,-73.0,-9.0,19.0,1,2025-11-24 17:07:17.473994
ue1,-73.0,-7.0,18.0,0,2025-11-24 17:07:17.647884
ue0,-73.0,-9.0,19.0,1,2025-11-24 17:07:17.974773
ue1,-72.0,-9.0,17.0,1,2025-11-24 17:07:18.160769
ue0,-72.0,-9.0,19.0,1,2025-11-24 17:07:18.475558
ue1,-72.0,-9.0,17.0,1,2025-11-24 17:07:18.671312
ue0,-72.0,-9.0,19.0,1,2025-11-24 17:07:18.976314
ue1,-72.0,-9.0,17.0,1,2025-11-24 17:07:19.185776
ue0,-72.0,-10.0,8.0,2,2025-11-24 17:07:19.477161
ue1,-73.0,-10.0,18.0,1,2025-11-24 17:07:19.690106
ue0,-72.0,-10.0,8.0,2,2025-11-24 17:07:19.977944
ue1,-73.0,-10.0,18.0,1,2025-11-24 17:07:20.190871
ue0,-72.0,-10.0,8.0,2,2025-11-24 17:07:20.478705
ue1,-72.0,-9.0,19.0,1,2025-11-24 17:07:20.691574
ue0,-72.0,-10.0,19.0,1,2025-11-24 17:07:20.979486
ue1,-72.0,-9.0,19.0,1,2025-11-24 17:07:21.192326
ue0,-72.0,-10.0,19.0,1,2025-11-24 17:07:21.480238
ue1,-72.0,-9.0,19.0,1,2025-11-24 17:07:21.717998
ue0,-74.0,-7.0,19.0,0,2025-11-24 17:07:21.997218
ue1,-73.0,-9.0,17.0,1,2025-11-24 17:07:22.218740
ue0,-74.0,-7.0,19.0,0,2025-11-24 17:07:22.497990
ue1,-73.0,-9.0,17.0,1,2025-11-24 17:07:22.719503
ue0,-73.0,-7.0,12.0,0,2025-11-24 17:07:22.998764
ue1,-73.0,-11.0,14.0,1,2025-11-24 17:07:23.230182
ue0,-76.0,-7.0,22.0,0,2025-11-24 17:07:23.499549
ue1,-73.0,-11.0,14.0,1,2025-11-24 17:07:23.730992
ue0,-76.0,-7.0,6.0,2,2025-11-24 17:07:24.000221
ue1,-73.0,-11.0,14.0,1,2025-11-24 17:07:24.231592
ue0,-76.0,-7.0,13.0,0,2025-11-24 17:07:24.500933
ue1,-73.0,-7.0,19.0,0,2025-11-24 17:07:24.732359
ue0,-77.0,-6.0,19.0,0,2025-11-24 17:07:25.001831
ue1,-73.0,-7.0,19.0,0,2025-11-24 17:07:25.233154
ue0,-77.0,-6.0,15.0,0,2025-11-24 17:07:25.502588
ue1,-73.0,-9.0,18.0,1,2025-11-24 17:07:25.733950
ue0,-76.0,-7.0,11.0,0,2025-11-24 17:07:26.003414
ue1,-73.0,-9.0,18.0,1,2025-11-24 17:07:26.234712
ue0,-77.0,-7.0,19.0,0,2025-11-24 17:07:26.504251
ue1,-73.0,-9.0,18.0,1,2025-11-24 17:07:26.735807
ue0,-77.0,-7.0,19.0,0,2025-11-24 17:07:27.023601
ue1,-73.0,-9.0,18.0,1,2025-11-24 17:07:27.256086
ue0,-74.0,-6.0,12.0,0,2025-11-24 17:07:27.537624
ue1,-73.0,-9.0,18.0,1,2025-11-24 17:07:27.765799
ue0,-74.0,-6.0,11.0,0,2025-11-24 17:07:28.038621
ue1,-73.0,-10.0,18.0,1,2025-11-24 17:07:28.277208
ue0,-74.0,-6.0,21.0,0,2025-11-24 17:07:28.539379
ue1,-73.0,-10.0,18.0,1,2025-11-24 17:07:28.777959
ue0,-74.0,-6.0,21.0,0,2025-11-24 17:07:29.040111
ue1,-73.0,-10.0,18.0,1,2025-11-24 17:07:29.286499
ue0,-74.0,-6.0,11.0,0,2025-11-24 17:07:29.540811
ue1,-73.0,-10.0,18.0,1,2025-11-24 17:07:29.832048
ue0,-73.0,-6.0,11.0,0,2025-11-24 17:07:30.077190
ue1,-73.0,-10.0,18.0,1,2025-11-24 17:07:30.332805
ue0,-73.0,-7.0,8.0,2,2025-11-24 17:07:30.577939
ue1,-72.0,-8.0,15.0,0,2025-11-24 17:07:30.833555
ue0,-73.0,-7.0,8.0,2,2025-11-24 17:07:31.093330
ue1,-72.0,-8.0,15.0,0,2025-11-24 17:07:31.357021
ue0,-73.0,-7.0,14.0,0,2025-11-24 17:07:31.618608
ue1,-72.0,-8.0,15.0,0,2025-11-24 17:07:31.865646
ue0,-73.0,-7.0,8.0,2,2025-11-24 17:07:32.119345
ue1,-74.0,-6.0,19.0,0,2025-11-24 17:07:32.366340
ue0,-73.0,-7.0,21.0,0,2025-11-24 17:07:32.623022
ue1,-74.0,-6.0,19.0,0,2025-11-24 17:07:32.873270
ue0,-73.0,-7.0,18.0,0,2025-11-24 17:07:33.126612
ue1,-74.0,-9.0,18.0,1,2025-11-24 17:07:33.376924
ue0,-73.0,-6.0,23.0,0,2025-11-24 17:07:33.627419
ue1,-74.0,-9.0,18.0,1,2025-11-24 17:07:33.877719
ue0,-72.0,-7.0,24.0,0,2025-11-24 17:07:34.128194
ue1,-74.0,-9.0,18.0,1,2025-11-24 17:07:34.378637
ue0,-72.0,-7.0,11.0,2,2025-11-24 17:07:34.628945
ue1,-74.0,-11.0,18.0,1,2025-11-24 17:07:34.879434
ue0,-72.0,-7.0,19.0,0,2025-11-24 17:07:35.137705
ue1,-74.0,-11.0,18.0,1,2025-11-24 17:07:35.405863
ue0,-73.0,-7.0,16.0,0,2025-11-24 17:07:35.656285
ue1,-75.0,-10.0,18.0,1,2025-11-24 17:07:35.917051
ue0,-73.0,-7.0,11.0,2,2025-11-24 17:07:36.167245
ue1,-75.0,-10.0,18.0,1,2025-11-24 17:07:36.417716
ue0,-73.0,-6.0,20.0,0,2025-11-24 17:07:36.667969
ue1,-75.0,-10.0,18.0,1,2025-11-24 17:07:36.918423
ue0,-73.0,-6.0,22.0,0,2025-11-24 17:07:37.175842
ue1,-75.0,-10.0,18.0,1,2025-11-24 17:07:37.426447
ue0,-73.0,-7.0,12.0,0,2025-11-24 17:07:37.676544
ue1,-75.0,-10.0,18.0,1,2025-11-24 17:07:37.927266
ue0,-73.0,-6.0,14.0,0,2025-11-24 17:07:38.184069
ue1,-75.0,-10.0,18.0,1,2025-11-24 17:07:38.432826
ue0,-72.0,-6.0,21.0,0,2025-11-24 17:07:38.686406
ue1,-75.0,-9.0,17.0,1,2025-11-24 17:07:38.936054
ue0,-72.0,-7.0,19.0,0,2025-11-24 17:07:39.191394
ue1,-75.0,-9.0,17.0,1,2025-11-24 17:07:39.439093
ue0,-72.0,-7.0,19.0,0,2025-11-24 17:07:39.697764
ue1,-75.0,-10.0,18.0,1,2025-11-24 17:07:39.953117
ue0,-73.0,-7.0,8.0,2,2025-11-24 17:07:40.221468
ue1,-75.0,-10.0,18.0,1,2025-11-24 17:07:40.458269
ue0,-72.0,-6.0,22.0,0,2025-11-24 17:07:40.735031
ue1,-75.0,-10.0,18.0,1,2025-11-24 17:07:40.964115
ue0,-73.0,-6.0,16.0,0,2025-11-24 17:07:41.235560
ue1,-73.0,-10.0,18.0,1,2025-11-24 17:07:41.464876
ue0,-72.0,-6.0,22.0,0,2025-11-24 17:07:41.736339
ue1,-73.0,-10.0,18.0,1,2025-11-24 17:07:41.966356
ue0,-72.0,-6.0,22.0,0,2025-11-24 17:07:42.237041
ue1,-75.0,-10.0,13.0,1,2025-11-24 17:07:42.472906
ue0,-72.0,-7.0,16.0,0,2025-11-24 17:07:42.737761
ue1,-75.0,-10.0,13.0,1,2025-11-24 17:07:42.973657
ue0,-72.0,-7.0,11.0,2,2025-11-24 17:07:43.238505
ue1,-75.0,-10.0,13.0,1,2025-11-24 17:07:43.474403
ue0,-72.0,-8.0,21.0,0,2025-11-24 17:07:43.755744
ue1,-74.0,-10.0,18.0,1,2025-11-24 17:07:44.014046
ue0,-73.0,-6.0,19.0,0,2025-11-24 17:07:44.271373
ue1,-74.0,-10.0,18.0,1,2025-11-24 17:07:44.522950
ue0,-73.0,-6.0,19.0,0,2025-11-24 17:07:44.773186
ue1,-72.0,-9.0,19.0,1,2025-11-24 17:07:45.029795
ue0,-74.0,-6.0,14.0,0,2025-11-24 17:07:45.280144
ue1,-72.0,-9.0,19.0,1,2025-11-24 17:07:45.530621
ue0,-74.0,-6.0,14.0,0,2025-11-24 17:07:45.780908
ue1,-72.0,-9.0,19.0,1,2025-11-24 17:07:46.031351
ue0,-74.0,-6.0,21.0,0,2025-11-24 17:07:46.287870
ue1,-73.0,-9.0,18.0,1,2025-11-24 17:07:46.538343
ue0,-74.0,-6.0,21.0,0,2025-11-24 17:07:46.788743
ue1,-73.0,-9.0,18.0,1,2025-11-24 17:07:47.039151
ue0,-74.0,-6.0,21.0,0,2025-11-24 17:07:47.291657
ue1,-73.0,-10.0,18.0,1,2025-11-24 17:07:47.539864
ue0,-74.0,-8.0,18.0,0,2025-11-24 17:07:47.792423
ue1,-73.0,-10.0,18.0,1,2025-11-24 17:07:48.045738
ue0,-74.0,-8.0,18.0,0,2025-11-24 17:07:48.354425
ue1,-73.0,-10.0,18.0,1,2025-11-24 17:07:48.604872
ue0,-74.0,-7.0,21.0,0,2025-11-24 17:07:48.855266
ue1,-71.0,-10.0,14.0,1,2025-11-24 17:07:49.105597
ue0,-74.0,-7.0,21.0,0,2025-11-24 17:07:49.356036
ue1,-71.0,-10.0,14.0,1,2025-11-24 17:07:49.615694
ue0,-74.0,-7.0,21.0,0,2025-11-24 17:07:49.866056
ue1,-71.0,-7.0,18.0,0,2025-11-24 17:07:50.116500
ue0,-74.0,-8.0,12.0,2,2025-11-24 17:07:50.366869
ue1,-71.0,-7.0,18.0,0,2025-11-24 17:07:50.617233
ue0,-74.0,-8.0,12.0,2,2025-11-24 17:07:50.867600
ue1,-71.0,-7.0,18.0,0,2025-11-24 17:07:51.118058
ue0,-73.0,-10.0,9.0,2,2025-11-24 17:07:51.368330
ue1,-72.0,-10.0,18.0,1,2025-11-24 17:07:51.618782
ue0,-73.0,-10.0,9.0,2,2025-11-24 17:07:51.869069
ue1,-72.0,-10.0,18.0,1,2025-11-24 17:07:52.119580
ue0,-73.0,-10.0,9.0,2,2025-11-24 17:07:52.369830
ue1,-74.0,-7.0,19.0,0,2025-11-24 17:07:52.620305
ue0,-73.0,-9.0,19.0,1,2025-11-24 17:07:52.870777
ue1,-74.0,-7.0,19.0,0,2025-11-24 17:07:53.121241
ue0,-73.0,-9.0,19.0,1,2025-11-24 17:07:53.371625
ue1,-74.0,-7.0,19.0,0,2025-11-24 17:07:53.622094
ue0,-73.0,-9.0,18.0,1,2025-11-24 17:07:53.872563
ue1,-73.0,-9.0,17.0,1,2025-11-24 17:07:54.122905
ue0,-73.0,-9.0,18.0,1,2025-11-24 17:07:54.373255
ue1,-73.0,-9.0,17.0,1,2025-11-24 17:07:54.623600
ue0,-73.0,-9.0,18.0,1,2025-11-24 17:07:54.874073
ue1,-78.0,-11.0,14.0,1,2025-11-24 17:07:55.124494
ue0,-74.0,-9.0,17.0,1,2025-11-24 17:07:55.374878
ue1,-78.0,-11.0,14.0,1,2025-11-24 17:07:55.625318
ue0,-74.0,-9.0,17.0,1,2025-11-24 17:07:55.875765
ue1,-78.0,-11.0,14.0,1,2025-11-24 17:07:56.126143
ue0,-74.0,-9.0,17.0,1,2025-11-24 17:07:56.376620
ue1,-71.0,-10.0,19.0,1,2025-11-24 17:07:56.627094
ue0,-74.0,-9.0,18.0,1,2025-11-24 17:07:56.877219
ue1,-71.0,-10.0,19.0,1,2025-11-24 17:07:57.127676
ue0,-74.0,-9.0,18.0,1,2025-11-24 17:07:57.378039
ue1,-71.0,-10.0,19.0,1,2025-11-24 17:07:57.628453
ue0,-74.0,-9.0,18.0,1,2025-11-24 17:07:57.926385
ue1,-69.0,-10.0,18.0,1,2025-11-24 17:07:58.146759
ue0,-74.0,-9.0,18.0,1,2025-11-24 17:07:58.427146
ue1,-69.0,-10.0,18.0,1,2025-11-24 17:07:58.657225
ue0,-74.0,-9.0,18.0,1,2025-11-24 17:07:58.927897
ue1,-77.0,-9.0,17.0,1,2025-11-24 17:07:59.161593
ue0,-72.0,-9.0,17.0,1,2025-11-24 17:07:59.428652
ue1,-77.0,-9.0,17.0,1,2025-11-24 17:07:59.662340
ue0,-72.0,-9.0,17.0,1,2025-11-24 17:07:59.930644
ue1,-77.0,-9.0,17.0,1,2025-11-24 17:08:00.174651
ue0,-74.0,-9.0,10.0,2,2025-11-24 17:08:00.431363
ue1,-74.0,-10.0,19.0,1,2025-11-24 17:08:00.675429
ue0,-74.0,-9.0,10.0,2,2025-11-24 17:08:00.932082
